title_pdf,author,genre,issued_date,written_date,ocr_confidence,genre_main,genre_sub,start_date,end_date,end_century,title_prefix,title_meta,pages
ධර්ම ප්‍රදීපිකාව හෙවත් මහාබෝධිවංශ පරිකථාව,Unknown,Non-Fiction; Religious,1906,1187 - 1225,0.9682,Non-Fiction,Religious,1187.0,1225.0,13,ධර්,ධර්ම ප්‍රදීපිකාව හෙවත් මහාබෝධිවංශ පරිකථාව,5.0
ධර්ම ප්‍රදීපිකාව හෙවත් මහාබෝධිවංශ පරිකථාව,Unknown,Non-Fiction; Religious,1906,1187 - 1225,0.9682,Non-Fiction,Religious,1187.0,1225.0,13,ධර්,ධර්මප්‍රදීපිකාව,5.0
නිදහසේ මන්ත්‍රය,ඇස් මහින්ද හිමි,Non-Fiction; Poetry,1938,1901 - 1938,0.8997,Non-Fiction,Poetry,1901.0,1938.0,20,නිද,නිදහසේ මන්ත්‍රය,8.0
පැරණි ගම,ගල්පාත ඛේමානන්ද හිමි,Non-Fiction; History,1944,1944,0.9846,Non-Fiction,History,1944.0,1944.0,20,පැර,පැරණි ගම,5.0
පන්සිය පනස් ජාතක පොත,Unknown,Fiction; Religious,1881,1303 - 1333,0.9987,Fiction,Religious,1303.0,1333.0,14,පන්,පන්සිය පනස් ජාතක පොත,5.0
හිතෝපදේශ සන්නය,වැලිගම ශ්‍රී සුමංගල හිමි,Non-Fiction,1884,1825 - 1905,0.9871,Non-Fiction,,1825.0,1905.0,20,හිත,හිතෝපදේශ සන්නය,6.0
අධිමාස සංග්‍රහව,මාදම්පේ ධම්මතිලක හිමි,Non-Fiction; Religious,1903,1850 - 1903,0.9692,Non-Fiction,Religious,1850.0,1903.0,20,අධි,අධිමාස දීපනය,7.0
අධිමාස සංග්‍රහව,මාදම්පේ ධම්මතිලක හිමි,Non-Fiction; Religious,1903,1850 - 1903,0.9692,Non-Fiction,Religious,1850.0,1903.0,20,අධි,අධිමාස විනිශ්චය,5.0
අධිමාස සංග්‍රහව,මාදම්පේ ධම්මතිලක හිමි,Non-Fiction; Religious,1903,1850 - 1903,0.9692,Non-Fiction,Religious,1850.0,1903.0,20,අධි,අධිමාස සංග්‍රහව,5.0
දුර්වාදී හෘදය විදාරණය,ශ්‍රී ධනුද්ධරාචාර්ය,Non-Fiction; Religious,1899,1854 - 1899,0.9919,Non-Fiction,Religious,1854.0,1899.0,19,දුර,දුර්වාදී හෘදය විදාරණය,5.0
වෛද්‍ය චින්තාමනි භෛෂද්‍ය සංග්‍රහව,Unknown,Non-Fiction; Medical,1909,1706 - 1739,0.9965,Non-Fiction,Medical,1706.0,1739.0,18,වෛද,වෛද්‍ය චින්තාමනි භෛෂද්‍ය සංග්‍රහව,5.0
ජුබිලි වර්ණනාව,ජෝන් ද සිල්වා,Fiction; Poetry,1887,1857 - 1922,0.9957,Fiction,Poetry,1857.0,1922.0,20,ජුබ,ජුබිලි වර්ණනාව,5.0
සිතියම් සහිත සද්ධර්මාලංකාරය,Unknown,Non-Fiction; Religious,1954,1398 - 1410,0.981,Non-Fiction,Religious,1398.0,1410.0,15,සිත,සිතියම් සහිත මහාවංශය,5.0
සිතියම් සහිත සද්ධර්මාලංකාරය,Unknown,Non-Fiction; Religious,1954,1398 - 1410,0.981,Non-Fiction,Religious,1398.0,1410.0,15,සිත,සිතියම් සහිත මහියංගන වර්ණනාව,5.0
සිතියම් සහිත සද්ධර්මාලංකාරය,Unknown,Non-Fiction; Religious,1954,1398 - 1410,0.981,Non-Fiction,Religious,1398.0,1410.0,15,සිත,සිතියම් සහිත සද්ධර්මාලංකාරය,5.0
සිතියම් සහිත සද්ධර්මාලංකාරය,Unknown,Non-Fiction; Religious,1954,1398 - 1410,0.981,Non-Fiction,Religious,1398.0,1410.0,15,සිත,සිතියම් සහිත සියබස් මල්දම,6.0
හංස සංදේශය,සී.ඊ. ගොඩකුඹුරේ,Fiction; Poetry,1953,1457 - 1465,0.8553,Fiction,Poetry,1457.0,1465.0,15,හංස,හංස සංදේශය,5.0
මහාවංස ටීකා,හික්කඩුවේ ශ්‍රී සුමංගල හිමි,Non-Fiction; History,1895,1827 - 1895,0.9978,Non-Fiction,History,1827.0,1895.0,19,මහා,මහාවංස ටීකා,6.0
ධම්පියා අටුවා ගැටපදය,ඩී.බි. ජයතිලක,Non-Fiction; Religious,1932,1868 - 1932,0.9241,Non-Fiction,Religious,1868.0,1932.0,20,ධම්,ධම්පියා අටුවා ගැටපදය,5.0
කාව්‍ය වජ්‍රායුධය - පළමු කොටස,එංගල්තිනා කුමාරි,Fiction; Poetry,1889,1825 - 1893,0.9254,Fiction,Poetry,1825.0,1893.0,19,කාව,කාව්‍ය වජ්‍රායුධය - පළමු කොටස,6.0
